ISBN,Title,Authors,Categories,Description,Published Date,Language,Num Pages
9788532506931,Palimpsesto,Gore Vidal,"Authors, American","As memórias dos primeiros quarenta anos de vida do escritor Gore Vidal estão registrados e agora revelados no livro Palimpsesto. O livro foi escrito na casa onde Gore Vidal mora há mais de 30 anos, na costa da Itália. É lá que ele desfia suas lembranças do passado, da infância em Washington, na casa do avô T.P. Gore - o ex-senador de Oklahoma -, a convivência exasperadora com sua mãe, Nina. Suas memórias enfocam ainda os tempos de colégio em St. Albans e Exeter, o exército e a Segunda Guerra, a efervescência cultural de Nova York, Londres, Roma e Paris nos anos 40 e 50, o sexo na era da promiscuidade, e sua campanha política no Congresso em 1960. Gore Vidal não poupa nem sua família e amigos talentosos que conheceu na intimidade. Na autobiografia de Gore Vidal fatos curiosos misturam-se a reflexões sobre literatura, história, arte e política.",1996,pt-BR,396
9788532506054,O rio que saía do Éden,Richard Dawkins,,"Todo ser humano - ainda que não seja um poeta ou um filósofo - é assaltado de uma maneira ou de outra pelos questionamentos da origem e do sentido da vida. Cabe, no entanto, ao cientista a explicação mais racional. É esta a 'missão' do professor inglês Richard Dawkins em 'O rio que saía do Éden' - Uma visão darwiniana da vida. Uma natureza, como define o próprio Dawkins, de diversidade 'luxuriante' já que, de acordo com as estimativas do número de espécies, há cerca de 10 bilhões de maneiras de se fazer um ser vivo. Numa trajetória paralela a esta busca de compreensão, o autor ilustra a natureza do raciocínio científico e as dificuldades do cientista para explicar a vida.",1996,pt-BR,150
9788532501196,As valkírias,Paulo Coelho,Angels,"In this autobiographical tale, Coelho and his wife go on a 40-day spiritual journey through the Mojave Desert in search of the eternal feminine.",1992,pt-BR,252
9788532507112,O diamente de Jerusalém,Noah Gordon,,"Este romance de espionagem começa com uma história quase bíblica: catorze homens roubaram a arca sagrada e os tesouros que ela continha: as tábuas da lei que o Senhor deu a Moisés no Monte Sinai e um inigualável diamante. Para reconstruir a trajetória deste diamante mítico, dos tempos bíblicos até as guerras políticas contemporâneas, o escritor Noah Gordon desvenda as preciosidades históricas da cultura judaica, fechada em si mesma, porém deslumbrante, como um raríssimo diamante.",1997,pt-BR,298
9788532505262,Forrest Gump : o contador de historias,Winston Groom,,"Forrest Gump é um contador de histórias, um jovem interiorano de Q.I. muito abaixo da média que participou de momentos importantes da história americana recente e explodiu nas telas de todo o mundo em 1994. Ele é um anti-herói, que não conta com músculos, violência ou cenas de sexo. Em tom de parábola, mostra-se a vida de um homem simplório, puro e indefeso, cujo destino sempre trapaceia a seu favor.",1995,pt-BR,195
9788532508287,O servo dos ossos,Anne Rice,Jews,"Este livro é o ponto de partida de uma nova saga escrita por Anne Rice. Após criar fantásticos personagens do universo sobrenatural, como o vampiro Lestat e os bruxos Mayfair, ela nos leva agora a novos domínios do oculto, do místico e do mágico, e à presença através dos séculos de um novo herói sombrio e luminoso - o poderoso e arguto Azriel, o Servo dos Ossos - que é fantasma, demônio e anjo, apaixonado pelo bem, escravo do mal.",1998,pt-BR,381
9788532505620,O bico do tentilhão,Jonathan Weiner,,"Um casal de cientistas, da Universidade de Princeton, estudou o mais celebrado local da ciência da evolução - o arquipélago de Galápagos, no Pacífico, visitado por Darwin e por ele considerado ''origem de todas as minhas visões''. Ali, os Grant observara",1995,pt-BR,345
9788532505361,Tempo de violênica,Quentin Tarantino,,"Em 'Pulp Fiction' (Tempo de violência), Palma de Ouro de Melhor Filme no Festival de Cannes de 1994, e seis indicações para o Oscar, Tarantino se inspirou nas novelas policiais dos anos 30 e 40 denominadas pulp magazines. O roteiro do filme foi escrito em Amsterdã, em 1992.",1995,pt-BR,176
9788532505583,A câmara,John Grisham,Bombings,"Esta é a história de Sam Cayhall, conhecido membro da Ku-Klux-Klan, que explodiu, em 1967, o escritório de um advogado judeu que militava pelos direitos dos negros, mutilando-o e matando seus dois filhos gêmeos de cinco anos de idade. O primeiro julgamento de Cayhall, com júri composto somente por brancos e manifestações da Klan do lado de fora do tribunal, terminou com sua absolvicão. Um novo julgamento, seis meses mais tarde, confirmou o veredicto. Doze anos depois, um promotor de Greenville, Mississipi, onde se passa a história, reabriu o caso. Desta vez, o júri era formado por oito brancos e quatro negros. Cayhall foi condenado à morte, na câmara de gás, e transferido para a penitenciária estadual em Parchman para aguardar a execução. Em 1990, numa grande firma de advocacia de Chicago, um jovem advogado chamado Adam Hall pede para trabalhar no caso Cayhall, que a firma vem mantendo durante anos. É um caso perdido e o tempo para revertê-lo está se esgotando - em algumas semanas Sam enfrentará a câmara de gás. Por que um jovem lutaria com açodamento para defender um assassino da Ku-Klux-Klan? Conforme sugere a semelhança dos sobrenomes, Adam é neto de Sam Cayhall, e esta reviravolta trará à tona questões familiares e humanas que procuram explicar a fúria racista do condenado. É neste contexto que Grisham discute a pena de morte e sua utilização pelo Estado, questionando sua eficácia, mesmo em casos como o de Cayhall. Muitos críticos consideram que, com este livro, o autor apresenta outras facetas de seu talento: concentração da narrativa nos personagens, conteúdo dramático convincente, estilo mais substancial e sofisticado do que utilizou nos dois romances anteriores.",1995,pt-BR,564
9788532506108,Afirma Pereira,Antonio Tabucchi,Portugal,"Antonio Tabucchi escolheu um modesto jornalista de meia-idade, em plena ditadura salazarista, para ser o protagonista do livro 'Afirma Pereira'. Ao longo do romance, ambientado na Lisboa de 1938, o autor mostra as mudanças de comportamento do jornalista, que trocou uma rotina medíocre por atos corajosos contra a ditadura, até morrer. E essa ficção, com referências a fatos históricos ocorridos na Europa na década de 30, virou filme, dirigido por Roberto Faenza e encenado por Marcelo Mastroianni.",1995,pt-BR,127
